,Momentum_Window,Min_Momentum,Top_N,MA_Fast,MA_Slow,Sharpe Ratio,Total Return,CAGR,Max Drawdown,Error,Final Capital
0,24,0.1,5,12,50,0.7733920885671213,15.781789066890111,0.242404440355672,-0.650632407676418,,152531.71755201044
1,24,0.1,5,12,100,0.9558376436644266,34.04502032956153,0.3148425147050897,-0.5256589854064486,,325319.79529569205
2,24,0.1,5,25,50,0.8128175060567473,18.2464847655956,0.2555762748990478,-0.5822959553069861,,174933.6358855167
3,24,0.1,5,25,100,0.8971391799074337,23.77830385396304,0.28022738811449854,-0.525666534082644,,230014.78274920917
4,24,0.1,10,12,50,0.8855222138718265,17.85066206343023,0.2535698993058988,-0.5714496780648612,,191739.17652851265
5,24,0.1,10,12,100,0.8172607532181799,12.24131664369639,0.21995359826872085,-0.5176433792519711,,129889.78363477849
6,24,0.1,10,25,50,0.8376768955650291,13.771475094440772,0.23026403591894984,-0.5192830517047631,,150247.79825712513
7,24,0.1,10,25,100,0.8028180045391093,11.228486101644815,0.21250547320308089,-0.47514464068253714,,119954.49219014692
8,24,0.1,15,12,50,0.7973487212312794,10.050383818396973,0.20308925203912342,-0.5261462173784471,,112447.13438467737
9,24,0.1,15,12,100,0.7703664750656807,8.272062179222678,0.18695280358665212,-0.5052253031384784,,88288.78125853997
10,24,0.1,15,25,50,0.7230562994269054,7.316271378860508,0.17705644713784574,-0.5564039644699554,,84625.19498746516
11,24,0.1,15,25,100,0.7886395717245658,8.608947475491338,0.1902173693754945,-0.4457731235003546,,92836.09210918941
12,24,0.1,20,12,50,0.7298584923249398,6.896650534985504,0.17237567411594767,-0.5189052184056705,,77487.54895110278
13,24,0.1,20,12,100,0.6783703742092917,5.169053573942085,0.15030990483075968,-0.4872445475745069,,59136.04771844894
14,24,0.1,20,25,50,0.7195298566037716,6.363939503862457,0.16609090291175588,-0.5007849346866114,,72260.2095977835
15,24,0.1,20,25,100,0.695111719274025,5.328897636148804,0.1525767208475135,-0.4160917414513629,,61475.84270764455
16,24,0.1,25,12,50,0.6329318811397114,4.253345648135509,0.13617289632519225,-0.508710510755449,,51450.56476073369
