,Momentum_Window,Min_Momentum,Top_N,MA_Fast,MA_Slow,Rebalance,Sharpe Ratio,Total Return,Max Drawdown,Error,CAGR,Final Capital
0,12,0.2,5,12,50,W,0.6466383655887407,20.000902030146552,-0.6199622852829222,,0.15705494510008022,188253.98011928852
1,12,0.2,5,12,50,Q,0.7081243410706656,39.079467461893174,-0.734505626036215,,0.1934458915925732,376235.8097820838
2,12,0.2,5,12,50,M,0.8233388999271124,70.52883697794147,-0.5270857379926138,,0.22703229790929846,671458.7694747599
3,12,0.2,5,12,50,Y,0.7642002796163844,53.56924732326107,-0.6083852531244104,,0.21122404641413883,512254.9339106451
4,12,0.2,5,12,50,6M,0.8233388999271124,70.52883697794147,-0.5270857379926138,,0.22703229790929846,671458.7694747599
5,12,0.2,5,12,100,W,0.6885272013731754,23.22396726796308,-0.6131903193033535,,0.16499755649752057,220481.51547764195
6,12,0.2,5,12,100,Q,0.8842256677015041,86.75172207690485,-0.6169335293072031,,0.23910911980055283,823746.978344137
7,12,0.2,5,12,100,M,0.9542529585821405,140.0018190877983,-0.43802157993919316,,0.2675888136373865,1323618.7241181184
8,12,0.2,5,12,100,Y,0.7795280802575268,58.38661207369526,-0.6301512878449033,,0.21614366074414293,557476.7205927793
9,12,0.2,5,12,100,6M,0.9542529585821405,140.0018190877983,-0.43802157993919316,,0.2675888136373865,1323618.7241181184
10,12,0.2,5,25,50,W,0.6506595979711826,20.020494588379176,-0.6134852096909668,,0.15710664368796312,188429.60957857154
11,12,0.2,5,25,50,Q,0.7999941130106277,67.3369660492231,-0.6965319550966321,,0.2243513732545408,641495.8927292533
12,12,0.2,5,25,50,M,0.7680672086528794,47.8545759895482,-0.6054150953095341,,0.20482107495442237,458609.9098363566
13,12,0.2,5,25,50,Y,0.6892941691696878,32.70406727619885,-0.6975692361529439,,0.18358018720486813,316388.3616135135
14,12,0.2,5,25,50,6M,0.7680672086528794,47.8545759895482,-0.6054150953095341,,0.20482107495442237,458609.9098363566
15,12,0.2,5,25,100,W,0.7325198116626542,29.18180614960581,-0.5246987665535019,,0.1773370713029967,270552.4327810248
16,12,0.2,5,25,100,Q,0.8970348047919858,88.57084875885681,-0.636903961338285,,0.2403279171897743,840823.5675211545
17,12,0.2,5,25,100,M,0.9698270823413598,145.43747847847854,-0.44277271156897313,,0.26988826476614514,1374644.5945216261
18,12,0.2,5,25,100,Y,0.6850798669305433,31.129311618333308,-0.6917556004157921,,0.18086972025456638,301605.74328882445
19,12,0.2,5,25,100,6M,0.9698270823413598,145.43747847847854,-0.44277271156897313,,0.26988826476614514,1374644.5945216261
20,12,0.2,10,12,50,W,0.696309341035628,15.673170767914877,-0.5510567647048997,,0.14433197426608046,153807.5546596936
21,12,0.2,10,12,50,Q,0.7385731443277818,26.04392884542749,-0.600597274685254,,0.17116069333711925,251349.90873983895
22,12,0.2,10,12,50,M,1.0117385421066067,92.5662858913923,-0.3881617922808159,,0.24292413876197205,869617.6341221025
23,12,0.2,10,12,50,Y,0.7207613516903695,26.480694962365757,-0.5866276513736346,,0.17206007295727277,255409.2717214735
24,12,0.2,10,12,50,6M,1.0117385421066067,92.5662858913923,-0.3881617922808159,,0.24292413876197205,869617.6341221025
25,12,0.2,10,12,100,W,0.642160307970755,10.582464405889178,-0.5101507082769158,,0.12453034733087476,107003.46218284857
26,12,0.2,10,12,100,Q,0.8377207107246333,38.64180281511908,-0.5673569275465159,,0.19281818828249753,368436.24226394715
27,12,0.2,10,12,100,M,1.0741182861145246,112.3538579597442,-0.3706957130066942,,0.2544018517119835,1053525.9878968226
28,12,0.2,10,12,100,Y,0.7084522225297922,23.694651000908877,-0.5911895817303607,,0.16607225826931749,229515.40476671827
29,12,0.2,10,12,100,6M,1.0741182861145246,112.3538579597442,-0.3706957130066942,,0.2544018517119835,1053525.9878968226
30,12,0.2,10,25,50,W,0.6518881541111716,11.69011545449189,-0.5105675021115266,,0.12946214030848258,117064.45364073226
31,12,0.2,10,25,50,Q,0.7442581120738893,25.703140550011945,-0.5697006889210384,,0.1704492922012304,248182.57652853618
32,12,0.2,10,25,50,M,0.9724815393365227,70.58016692076271,-0.4809194714609761,,0.2270744735412613,665275.6900060446
33,12,0.2,10,25,50,Y,0.6854954267602814,20.568775141167922,-0.6145851236041203,,0.1585350845304372,200463.09448411685
34,12,0.2,10,25,50,6M,0.9724815393365227,70.58016692076271,-0.4809194714609761,,0.2270744735412613,665275.6900060446
35,12,0.2,10,25,100,W,0.7120295561292381,14.565588207759621,-0.43361682851871186,,0.14056926992511842,143590.26800603402
36,12,0.2,10,25,100,Q,0.7995228550373503,28.643515972810025,-0.5145894413628495,,0.17632234007667225,275510.820823415
37,12,0.2,10,25,100,M,1.0529620580537398,91.73132054377143,-0.377385845530738,,0.2423904233457439,861857.3539821509
38,12,0.2,10,25,100,Y,0.6810156583231877,20.086548566242715,-0.6087386753568855,,0.1572806018933539,195981.2158971648
39,12,0.2,10,25,100,6M,1.0529620580537398,91.73132054377143,-0.377385845530738,,0.2423904233457439,861857.3539821509
40,12,0.2,15,12,50,W,0.6645745516763383,9.701279111501272,-0.4793204899963443,,0.12027487214406674,98696.57369710262
41,12,0.2,15,12,50,Q,0.7648157889310271,23.527315205950007,-0.569360892100223,,0.16569243585529358,225643.9248448896
42,12,0.2,15,12,50,M,0.9768744594312126,51.71441979500046,-0.41083812911220424,,0.20921877928872812,484956.8115624635
43,12,0.2,15,12,50,Y,0.6857116088514814,18.04413363488456,-0.5332595098288175,,0.1516453119312009,175200.3031136275
44,12,0.2,15,12,50,6M,0.9768744594312126,51.71441979500046,-0.41083812911220424,,0.20921877928872812,484956.8115624635
45,12,0.2,15,12,100,W,0.6389500332968172,7.688721844861068,-0.40835195625363524,,0.10914755729759618,80006.71589584494
46,12,0.2,15,12,100,Q,0.825238064813892,27.36357458397243,-0.5424285385730799,,0.17383725652052706,260936.35760858664
47,12,0.2,15,12,100,M,1.0296395959542104,53.720082808420266,-0.3844778269521441,,0.21138425048248188,503408.30820872047
48,12,0.2,15,12,100,Y,0.6613936745530207,15.40557100870498,-0.5494651160006414,,0.14344517727231088,150926.32033479612
49,12,0.2,15,12,100,6M,1.0296395959542104,53.720082808420266,-0.3844778269521441,,0.21138425048248188,503408.30820872047
50,12,0.2,15,25,50,W,0.6412926668819894,8.06691076951156,-0.40207505606550187,,0.1114141074701791,83622.99661975738
51,12,0.2,15,25,50,Q,0.7367210422584051,19.02254475712558,-0.5287359310142845,,0.15441314649615578,184201.3912425394
52,12,0.2,15,25,50,M,0.9797482173599729,45.66843625592533,-0.43089478651031626,,0.20218118163327659,429335.580952863
53,12,0.2,15,25,50,Y,0.6212532635342716,12.2991809511295,-0.5975317840449433,,0.13200195961816386,122348.46585684511
54,12,0.2,15,25,50,6M,0.9797482173599729,45.66843625592533,-0.43089478651031626,,0.20218118163327659,429335.580952863
55,12,0.2,15,25,100,W,0.6959750708897503,9.428078935652097,-0.357917769457998,,0.11888757744249978,96176.88226500273
56,12,0.2,15,25,100,Q,0.8061893610341311,21.265385267647286,-0.39141827160648934,,0.16030091054201612,204834.84954589518
57,12,0.2,15,25,100,M,1.038521356818161,50.11359362977438,-0.31642116674954696,,0.20743335100043758,470229.69219032855
58,12,0.2,15,25,100,Y,0.585251515801037,9.868852508672433,-0.5995230377997404,,0.12110920929919788,99990.1749549062
59,12,0.2,15,25,100,6M,1.038521356818161,50.11359362977438,-0.31642116674954696,,0.20743335100043758,470229.69219032855
60,12,0.25,5,12,50,W,0.6643159935100623,20.812469354785108,-0.5981701271329214,,0.15915891727960796,195528.94282225508
61,12,0.25,5,12,50,Q,0.6609653343123245,26.78621057593417,-0.7345214030110641,,0.17268113057813617,260835.986574715
62,12,0.25,5,12,50,M,0.8068915005063544,57.5489575499368,-0.4864961597202344,,0.2153161782379691,549613.4517416267
63,12,0.25,5,12,50,Y,0.7642002796163844,53.56924732326107,-0.6083852531244104,,0.21122404641413883,512254.9339106451
64,12,0.25,5,12,50,6M,0.8068915005063544,57.5489575499368,-0.4864961597202344,,0.2153161782379691,549613.4517416267
65,12,0.25,5,12,100,W,0.6924990521358194,21.571372681558525,-0.5987945712235615,,0.1610599826900363,205439.94301966936
66,12,0.25,5,12,100,Q,0.814317375575994,52.89149353801302,-0.6169608468521556,,0.21049895327426493,505892.6925842573
67,12,0.25,5,12,100,M,0.9347372193737902,106.10230760806554,-0.4273638914249325,,0.2509968070420592,1005395.6797395778
68,12,0.25,5,12,100,Y,0.7667098736765473,53.233562883777864,-0.6301512878449033,,0.21086599362511738,509103.78158956475
69,12,0.25,5,12,100,6M,0.9347372193737902,106.10230760806554,-0.4273638914249325,,0.2509968070420592,1005395.6797395778
70,12,0.25,5,25,50,W,0.6757046911546261,21.2833437038849,-0.5608903090202454,,0.16034573412251807,199749.90296134184
71,12,0.25,5,25,50,Q,0.7570918077169744,46.192925696908404,-0.688652879639845,,0.20282510610252635,443011.5902224452
72,12,0.25,5,25,50,M,0.7662206710673148,42.72275687612198,-0.5520267443807079,,0.19843145847679677,410436.2627780259
73,12,0.25,5,25,50,Y,0.666839440359687,27.78834659450217,-0.6975692361529439,,0.17467361009159066,270243.28363564046
74,12,0.25,5,25,50,6M,0.7662206710673148,42.72275687612198,-0.5520267443807079,,0.19843145847679677,410436.2627780259
75,12,0.25,5,25,100,W,0.7529475180079528,28.889287632694078,-0.4617751082688228,,0.17678780235327807,267930.27040970494
76,12,0.25,5,25,100,Q,0.8267272193556442,52.974631225096,-0.6369250995153585,,0.2105883636057455,506673.1264823078
77,12,0.25,5,25,100,M,0.9562283696461612,110.8775277794223,-0.3783093772829623,,0.2536141615801317,1050221.8449017354
78,12,0.25,5,25,100,Y,0.6719658315487728,28.031602901604714,-0.6917556004157921,,0.17514729333911827,272526.79036572215
79,12,0.25,5,25,100,6M,0.9562283696461612,110.8775277794223,-0.3783093772829623,,0.2536141615801317,1050221.8449017354
80,12,0.25,10,12,50,W,0.7290649953791147,15.753598991323756,-0.4965796501753681,,0.1445958572014805,154549.49322316993
81,12,0.25,10,12,50,Q,0.7267431002872916,21.811412853784045,-0.5701964995619008,,0.16164863093961745,212012.33636564744
82,12,0.25,10,12,50,M,0.9639564554615142,59.243406650658656,-0.38093809128418327,,0.21697863327843891,559910.3166691054
83,12,0.25,10,12,50,Y,0.704260430236481,23.578047419013007,-0.5866276513736346,,0.16580784887841227,228431.67540787475
84,12,0.25,10,12,50,6M,0.9639564554615142,59.243406650658656,-0.38093809128418327,,0.21697863327843891,559910.3166691054
85,12,0.25,10,12,100,W,0.6114260114519889,7.8025425451864,-0.46819684805438894,,0.10983942845317207,81321.42654095723
86,12,0.25,10,12,100,Q,0.8348769265061885,32.385583628551444,-0.5326697373208383,,0.18304188262290855,310290.10045932996
87,12,0.25,10,12,100,M,0.9971917009070244,60.1906227672937,-0.3697949256377571,,0.21788866611431246,568713.8705400652
88,12,0.25,10,12,100,Y,0.6900825554557258,20.814607360887685,-0.5911895817303607,,0.15916436094131114,202747.89216810136
89,12,0.25,10,12,100,6M,0.9971917009070244,60.1906227672937,-0.3697949256377571,,0.21788866611431246,568713.8705400652
90,12,0.25,10,25,50,W,0.6822458641942839,11.597111496768276,-0.4410021392959167,,0.12906413246635395,116206.50577285161
91,12,0.25,10,25,50,Q,0.7215781694989519,19.79337292710306,-0.54169039590844,,0.15650450414071093,193256.40211128048
92,12,0.25,10,25,50,M,0.9541434250573968,51.88792019294159,-0.4497139544500251,,0.20940917654983493,491547.43713147135
93,12,0.25,10,25,50,Y,0.7107105088658807,21.89839955928014,-0.5504032672912622,,0.1618604927377194,212820.80249543907
94,12,0.25,10,25,50,6M,0.9541434250573968,51.88792019294159,-0.4497139544500251,,0.20940917654983493,491547.43713147135
95,12,0.25,10,25,100,W,0.6967743675844822,11.067646489731787,-0.35564217434017725,,0.12674356952243504,111322.26874657038
96,12,0.25,10,25,100,Q,0.8484384466828216,28.168570746927525,-0.3973312210545264,,0.17541234511765236,271096.6160729032
97,12,0.25,10,25,100,M,1.0567215632366962,68.37744255018318,-0.3399430599830197,,0.2252381591193604,644803.2737129587
98,12,0.25,10,25,100,Y,0.695685861954899,20.02194490918787,-0.5417211898485809,,0.15711046880366242,195380.7808273269
99,12,0.25,10,25,100,6M,1.0567215632366962,68.37744255018318,-0.3399430599830197,,0.2252381591193604,644803.2737129587
100,12,0.25,15,12,50,W,0.6785707971563671,8.36712597138498,-0.4276778745642119,,0.11315014777088694,86391.84429562496
101,12,0.25,15,12,50,Q,0.7564426842663869,19.46566172038894,-0.5003611089793337,,0.15562455469977032,188277.93406496124
102,12,0.25,15,12,50,M,0.9200985816734094,31.4938429895692,-0.39247614412458437,,0.18150822633176666,298933.58502121497
103,12,0.25,15,12,50,Y,0.7210834854016301,19.272400013270758,-0.4209879324010784,,0.15509931075462435,186499.98447079648
104,12,0.25,15,12,50,6M,0.9200985816734094,31.4938429895692,-0.39247614412458437,,0.18150822633176666,298933.58502121497
105,12,0.25,15,12,100,W,0.6425197386098784,6.21634194281322,-0.33972001450771366,,0.09932368099287814,66448.87820495754
106,12,0.25,15,12,100,Q,0.8498257576245353,23.617727403931575,-0.3918658401718963,,0.1658979607161961,226475.68988052895
107,12,0.25,15,12,100,M,0.9783893523568788,31.861735178339032,-0.3265938134269765,,0.1821457417384733,302318.0825374235
108,12,0.25,15,12,100,Y,0.6819026992406415,15.228346842773583,-0.4490098647380041,,0.14285026265506673,149295.91129726634
109,12,0.25,15,12,100,6M,0.9783893523568788,31.861735178339032,-0.3265938134269765,,0.1821457417384733,302318.0825374235
110,12,0.25,15,25,50,W,0.6687535416755528,7.26627566916522,-0.3404469516474944,,0.10650192976943385,76238.83811286521
111,12,0.25,15,25,50,Q,0.7132399797381371,14.007205489583983,-0.4657155844936716,,0.13857455395123086,138061.77802950217
112,12,0.25,15,25,50,M,0.9125255658732118,25.852280488205096,-0.3519772942606512,,0.17076168175074713,247032.90635432448
113,12,0.25,15,25,50,Y,0.6836957817161815,14.424771598809548,-0.40532607050702146,,0.14007273286491806,141903.26067759117
114,12,0.25,15,25,50,6M,0.9125255658732118,25.852280488205096,-0.3519772942606512,,0.17076168175074713,247032.90635432448
115,12,0.25,15,25,100,W,0.6731458159718556,6.640454556650252,-0.2956007266559638,,0.1023359117104723,70466.96739451787
116,12,0.25,15,25,100,Q,0.8052885612132549,16.22528606536747,-0.3946202767252199,,0.14611958760976562,158467.45237826192
117,12,0.25,15,25,100,M,0.989967744475711,29.093153617629376,-0.30757116973053505,,0.17717114354617225,276847.9646559454
118,12,0.25,15,25,100,Y,0.6343380680374633,10.809301529318398,-0.4022379027312148,,0.12557586656819408,108642.0231638618
119,12,0.25,15,25,100,6M,0.989967744475711,29.093153617629376,-0.30757116973053505,,0.17717114354617225,276847.9646559454
120,12,0.3,5,12,50,W,0.6398422259925227,16.346031824405053,-0.5315923195553774,,0.14650325477411186,155491.39391882147
121,12,0.3,5,12,50,Q,0.655673500662283,23.536215792940755,-0.6560040613415308,,0.16571270063595533,230327.4869263687
122,12,0.3,5,12,50,M,0.8399675670210907,61.086674622393836,-0.45390298593325806,,0.21873728137789272,582822.8712230927
123,12,0.3,5,12,50,Y,0.6999698083200677,32.96584192171527,-0.6083852531244104,,0.1840190276429472,318845.7045367928
124,12,0.3,5,12,50,6M,0.8399675670210907,61.086674622393836,-0.45390298593325806,,0.21873728137789272,582822.8712230927
125,12,0.3,5,12,100,W,0.6817599478246544,17.923691442503674,-0.547827659336901,,0.15129527696901013,172239.5064986947
126,12,0.3,5,12,100,Q,0.7675488354550681,34.04321452771635,-0.5037804222972806,,0.18579188194542362,328959.26593182003
127,12,0.3,5,12,100,M,0.9015144403853088,73.1473934914628,-0.4752827001886352,,0.22914795106157926,696039.8029244072
128,12,0.3,5,12,100,Y,0.6943209573920992,31.12238552421856,-0.6301512878449033,,0.18085752199611638,301540.726341422
129,12,0.3,5,12,100,6M,0.9015144403853088,73.1473934914628,-0.4752827001886352,,0.22914795106157926,696039.8029244072
130,12,0.3,5,25,50,W,0.6332371165567032,14.826387846142296,-0.5103393739366588,,0.14147769095934737,141869.16822291515
131,12,0.3,5,25,50,Q,0.7295411134624933,33.901974668672054,-0.6230504322123588,,0.18556244636348418,327633.41266813676
132,12,0.3,5,25,50,M,0.7940593388456313,43.45764214402323,-0.5495150371792455,,0.19938895779133703,417334.81137098395
133,12,0.3,5,25,50,Y,0.6226275040833349,19.651753128999754,-0.6975692361529439,,0.1561258674269448,193863.08137193724
134,12,0.3,5,25,50,6M,0.7940593388456313,43.45764214402323,-0.5495150371792455,,0.19938895779133703,417334.81137098395
135,12,0.3,5,25,100,W,0.7419133560683387,23.153964825833427,-0.4281815370315488,,0.1648360256771353,216518.31943204912
136,12,0.3,5,25,100,Q,0.8124042541777634,38.52760075949829,-0.5052973859718204,,0.19265331306330435,371055.30143663933
137,12,0.3,5,25,100,M,0.9512767526878918,86.76864767927556,-0.41413292764889226,,0.2391205702483361,823905.8631327148
138,12,0.3,5,25,100,Y,0.618089731103158,18.676634502527524,-0.6917556004157921,,0.1534496122422322,184709.4032095916
139,12,0.3,5,25,100,6M,0.9512767526878918,86.76864767927556,-0.41413292764889226,,0.2391205702483361,823905.8631327148
140,12,0.3,10,12,50,W,0.6725878686020189,9.703758399864919,-0.4552350731621771,,0.12028730675944233,98740.60117704078
141,12,0.3,10,12,50,Q,0.6737855886639469,14.770157865738014,-0.5142278459582984,,0.14128304137454717,146569.96633225115
142,12,0.3,10,12,50,M,0.8850493674890132,30.857929176951792,-0.3641807998892222,,0.18038987743441837,296091.874706325
143,12,0.3,10,12,50,Y,0.6972580049483589,20.23536916743325,-0.4987112976137347,,0.15767063875625298,197364.37456252176
144,12,0.3,10,12,50,6M,0.8850493674890132,30.857929176951792,-0.3641807998892222,,0.18038987743441837,296091.874706325
145,12,0.3,10,12,100,W,0.5791517858515218,5.386304875877328,-0.42613480552548405,,0.0929062216468628,58999.25165551331
146,12,0.3,10,12,100,Q,0.7498690031362829,16.76376067539669,-0.44674042587151563,,0.14781124322609385,165098.77873725485
147,12,0.3,10,12,100,M,0.8861430439155075,24.642083494678833,-0.35126433125534495,,0.16817761678617327,238320.96967584573
