iter	Passed	Remaining
410	4541	983
411	4551	972
412	4561	960
413	4571	949
414	4582	938
415	4592	927
416	4603	916
417	4615	905
418	4626	894
419	4638	883
420	4651	872
421	4662	861
422	4677	851
423	4711	844
424	4729	834
425	4745	824
426	4756	813
427	4766	801
428	4777	790
429	4788	779
430	4798	768
431	4808	756
432	4819	745
433	4829	734
434	4840	723
435	4851	712
436	4861	700
437	4873	689
438	4883	678
439	4893	667
440	4904	656
441	4915	645
442	4926	633
443	4937	622
444	4948	611
445	4959	600
446	4970	589
447	4981	578
448	4992	567
449	5003	555
450	5016	544
451	5027	533
452	5039	522
453	5050	511
454	5061	500
455	5073	489
456	5083	478
457	5094	467
458	5105	456
459	5116	444
460	5128	433
461	5139	422
462	5150	411
463	5162	400
464	5173	389
465	5185	378
466	5195	367
467	5206	356
468	5217	344
469	5227	333
470	5238	322
471	5248	311
472	5258	300
473	5269	289
474	5279	277
475	5290	266
476	5301	255
477	5311	244
478	5321	233
479	5332	222
480	5342	211
481	5353	199
482	5363	188
483	5374	177
484	5384	166
485	5395	155
486	5406	144
487	5416	133
488	5427	122
489	5437	110
490	5447	99
491	5458	88
492	5468	77
493	5479	66
494	5489	55
495	5499	44
496	5509	33
497	5520	22
498	5531	11
499	5541	0
