iter	Logloss
139	0.5365310432
140	0.5361593535
141	0.5358757531
142	0.5350452399
143	0.5346816153
144	0.5335799278
145	0.5328139888
146	0.5322075125
147	0.5313792446
148	0.5305736507
149	0.5299743708
150	0.5293289145
151	0.5290214614
152	0.528199056
153	0.5277738882
154	0.5273988986
155	0.5267567386
156	0.526235989
157	0.5255538213
158	0.5251188814
159	0.5244987232
160	0.524083472
161	0.5234981366
162	0.5230275636
163	0.5226204689
164	0.5221987448
165	0.5216944313
166	0.521230851
167	0.520824324
168	0.5202868172
169	0.5197518305
170	0.5192604078
171	0.5185102485
172	0.5179835444
173	0.5174491211
174	0.5170595983
175	0.5165045966
176	0.5159092266
177	0.5152651267
178	0.5146746933
179	0.5141818609
180	0.5134317906
181	0.5129667401
182	0.5125745738
183	0.5120096761
184	0.5116359781
185	0.5110358291
186	0.5105023753
187	0.5100275726
188	0.5096543703
189	0.5090136393
190	0.5085474808
191	0.5080813339
192	0.5075343961
193	0.5072428065
194	0.5067651653
195	0.5061271149
196	0.505594667
197	0.505204418
198	0.5046908375
199	0.5039270131
200	0.5036075033
201	0.5032813627
202	0.5029350501
203	0.5024747943
204	0.502106987
205	0.5017191484
206	0.5013887868
207	0.5009884444
208	0.5003865427
209	0.4999720152
210	0.4991786942
211	0.4984561968
212	0.4978676
213	0.4973767482
214	0.4968088917
215	0.4963347448
216	0.4959076531
217	0.4955064041
218	0.4951609891
219	0.4946785702
220	0.494080697
221	0.4936074243
222	0.4929497408
223	0.4924531798
224	0.4920746669
225	0.491564637
226	0.4912188183
227	0.4908478707
228	0.4904569418
229	0.4899615977
230	0.4894169113
231	0.4890783217
232	0.4887567161
233	0.4881106056
234	0.4877181952
235	0.4871679058
236	0.4867491879
237	0.486382024
238	0.4860181287
239	0.4854705134
240	0.4849666881
241	0.484579955
242	0.4841024815
243	0.4837105392
244	0.4833873365
245	0.4829113645
246	0.4825154105
247	0.4820028999
248	0.4816636571
249	0.4811235258
250	0.4804926939
251	0.4800664043
252	0.4796642128
253	0.4790697248
254	0.478605573
255	0.4780804005
256	0.4776633142
257	0.4773131819
258	0.4767907238
259	0.4761750244
260	0.475755855
261	0.4752736795
262	0.4749807726
263	0.4746645117
264	0.4738546452
265	0.4733740751
266	0.4730120106
267	0.4725402935
268	0.4720464018
269	0.4714145532
270	0.4709296258
271	0.4704646591
272	0.4700431237
273	0.4694834373
274	0.4688789764
275	0.4685393023
276	0.4680112034
277	0.4675995175
278	0.4669995727
279	0.4666910691
280	0.4662003083
281	0.4656883185
282	0.4652243029
283	0.4647819714
284	0.4643838598
285	0.463887956
286	0.4634766528
287	0.4628554639
288	0.4623683325
289	0.4619893951
290	0.4616169327
291	0.4612421009
292	0.4608532113
293	0.4603459411
294	0.4600550705
295	0.4596509115
296	0.4592209638
297	0.4588761971
298	0.4582956818
299	0.457819147
300	0.4573829487
301	0.4569206469
302	0.4565127306
303	0.4561186069
304	0.4557204111
305	0.4553372105
306	0.4549216174
307	0.4544956297
308	0.4540826532
309	0.4535811007
310	0.4529859274
311	0.4525706363
312	0.4520865901
313	0.451716225
314	0.451284376
315	0.4508901352
316	0.4506281488
317	0.45019948
318	0.449691601
319	0.4492673224
320	0.448852117
321	0.4485172318
322	0.4481436709
323	0.4476405695
324	0.4471267814
325	0.4467117734
326	0.4462336577
327	0.4458372945
328	0.4454234436
329	0.4448083869
330	0.4444265261
331	0.4439687275
332	0.4436024682
333	0.4431135844
334	0.4428275775
335	0.4423203755
336	0.4419127783
337	0.441386623
338	0.4410257778
339	0.440614234
340	0.4401716805
341	0.4396830857
342	0.43932047
343	0.4385767269
344	0.4381959294
345	0.4378057678
346	0.4375398041
347	0.4371025074
348	0.4368148584
349	0.4362629733
350	0.4358138218
351	0.4355067636
352	0.4352366758
353	0.4348237265
354	0.434450506
355	0.4339781617
356	0.4336355588
357	0.4332711252
358	0.4330373714
359	0.4326954888
360	0.4323986523
361	0.4319280104
362	0.4315731569
363	0.4311299187
364	0.430764599
365	0.4301452917
366	0.4295300668
367	0.4291000546
368	0.4287549083
369	0.4282129521
370	0.4278713054
371	0.4273190309
372	0.4268967733
373	0.4264856807
374	0.4262005283
375	0.4256510191
376	0.4252271969
377	0.4247383921
378	0.4243967109
379	0.4240428928
380	0.4236370896
381	0.4232086065
382	0.4228122311
383	0.4223570919
384	0.4219236626
385	0.4212829203
386	0.4208870124
387	0.4205070735
388	0.4199507662
389	0.419558769
390	0.4192146704
391	0.4188760012
392	0.4184449653
393	0.4181962309
394	0.4177481163
395	0.4174959675
396	0.4171316874
397	0.4166645676
398	0.4163379974
399	0.4160312415
400	0.4156127985
401	0.4152854213
402	0.4148200452
403	0.4144624478
404	0.4140706101
405	0.413511238
406	0.4131292725
407	0.4128114018
408	0.4124059957
409	0.4118684561
410	0.4115269746
411	0.4110675803
412	0.4105667494
413	0.4102638015
414	0.4099615961
415	0.4096636209
416	0.4092494513
417	0.4089973726
418	0.4086002333
419	0.4081823994
420	0.4078763401
421	0.407575114
422	0.4070551948
423	0.4066719386
424	0.4063306613
425	0.4057453166
426	0.4053878799
427	0.4051051155
428	0.4046968539
429	0.4043422528
430	0.4039948997
431	0.4036291228
432	0.4032082938
433	0.4028271548
434	0.4023522346
435	0.4020360704
436	0.401740155
437	0.4011198678
438	0.4008083197
439	0.4004949011
440	0.4000206737
441	0.3995942932
442	0.3992805798
443	0.3989996959
444	0.3985944119
445	0.3983486039
446	0.3978003529
447	0.3974752796
448	0.3970451778
449	0.3968038389
450	0.3965386531
451	0.3961021384
452	0.3956380202
453	0.3953193919
454	0.3949722729
455	0.394611355
456	0.3943363176
457	0.3940455286
458	0.3936649077
459	0.3932857142
460	0.3928835304
461	0.3925135766
462	0.3921079736
463	0.3917136194
464	0.3913153994
465	0.3909401108
466	0.3904016282
467	0.3901163668
468	0.3897511306
469	0.389362662
470	0.3890734812
471	0.3883958472
472	0.3881033809
473	0.387715824
474	0.3873227547
475	0.3869703988
476	0.3865000205
477	0.3862433287
478	0.3858870236
479	0.3854449096
480	0.3851027135
481	0.384787155
482	0.3843506821
483	0.3840097725
484	0.3836554549
485	0.3832492986
486	0.38297367
487	0.3827234685
488	0.3824067758
489	0.3820315489
490	0.381767113
491	0.3813684372
492	0.380994938
493	0.3807168852
494	0.3803190442
495	0.3799651587
496	0.3797328006
497	0.3793621964
498	0.3788023301
499	0.3785076194
