iter	Logloss
0	0.6886344886
1	0.6841283448
2	0.6804152978
3	0.6763631344
4	0.6730161208
5	0.6699886077
6	0.6673380548
7	0.6647437231
8	0.6617111134
9	0.6595226764
10	0.6564512971
11	0.6540978807
12	0.6521056294
13	0.6500866924
14	0.6479546473
15	0.6456879229
16	0.6441047677
17	0.6420604653
18	0.6402274819
19	0.6387758781
20	0.6366790006
21	0.6355002299
22	0.6341794516
23	0.6328488909
24	0.6314260522
25	0.6293863262
26	0.6279598118
27	0.6265072812
28	0.6251757849
29	0.6238750489
30	0.6225094081
31	0.6213392625
32	0.6201509805
33	0.6193605897
34	0.6184572862
35	0.6171467559
36	0.6162213031
37	0.6152586691
38	0.6140635319
39	0.6131409593
40	0.6122059438
41	0.6111643487
42	0.6100212175
43	0.6092463801
44	0.608380725
45	0.6069454321
46	0.6059327989
47	0.6042964224
48	0.6033917855
49	0.6027764372
50	0.6018597166
51	0.6006440507
52	0.5997108109
53	0.5988787329
54	0.598033653
55	0.5972060504
56	0.5962817043
57	0.595622626
58	0.5946311476
59	0.5933802581
60	0.5925999863
61	0.5918750586
62	0.5905986846
63	0.5898021284
64	0.5891049203
65	0.5878819861
66	0.5871518997
67	0.5863540231
68	0.5856330267
69	0.5847942724
70	0.5841328886
71	0.5827464731
72	0.5815924491
73	0.5808655417
74	0.5801829705
75	0.5795554297
76	0.5789626579
77	0.578008212
78	0.5766246327
79	0.5759635557
80	0.5752085141
81	0.574497482
82	0.5740077872
83	0.5732422139
84	0.5727703922
85	0.5719215168
86	0.5711498785
87	0.5701104774
88	0.5693925739
89	0.568807294
90	0.5680839918
91	0.5674846677
92	0.566759206
93	0.5659506623
94	0.5652687173
95	0.564260353
96	0.5638123894
97	0.5632384927
98	0.5625968723
99	0.5619076591
100	0.561336076
101	0.5606945155
102	0.5601623513
103	0.5595946087
104	0.5588730889
105	0.5580709097
106	0.5576138631
107	0.5569564473
108	0.5556476547
109	0.5549646557
110	0.5543349436
111	0.5538993832
112	0.5530585017
113	0.5526094268
114	0.5520146789
115	0.5516563479
116	0.5510370698
117	0.5507497319
118	0.5498747972
119	0.5493418276
120	0.5487136051
121	0.5478913522
122	0.5472672369
123	0.5465637409
124	0.5460104223
125	0.5456317689
126	0.5449583751
127	0.5444251275
128	0.5436954095
129	0.543150208
130	0.5425654589
131	0.5418678224
132	0.5412781805
133	0.5407818959
134	0.5400296488
135	0.5396371636
136	0.5388267502
137	0.5381922999
138	0.5375284372
