,Momentum_Window,Min_Momentum,Top_N,MA_Fast,MA_Slow,Sharpe Ratio,Total Return,CAGR,Max Drawdown,Error,Final Capital
0,24,0.1,5,12,50,0.8863436562515155,142.36499564265924,0.26859870090326377,-0.6545376278661206,,1351420.0588370112
1,24,0.1,5,12,100,0.9953682493504683,248.2346338699452,0.3026615383817175,-0.5193533812467342,,2349392.765360075
2,24,0.1,5,25,50,0.8815586584059741,132.02873918125934,0.2640584703401616,-0.5877330157181604,,1253986.0635119835
3,24,0.1,5,25,100,1.0445168263034967,309.94380469288257,0.31654248058001233,-0.4629853776897943,,2931089.928537768
4,24,0.1,10,12,50,1.0540553238468344,173.32719560735333,0.2805402490805813,-0.5799638022126483,,1645427.0777035279
5,24,0.1,10,12,100,0.9950958914224294,106.53562498619814,0.25123885015634917,-0.5259809249350635,,1014999.5733803845
6,24,0.1,10,25,50,1.0315381130963102,142.8362266903068,0.2687981815228293,-0.5289681960411201,,1357631.0989594704
7,24,0.1,10,25,100,1.0090439645913705,107.72414604569455,0.2518980003799518,-0.48238720276067165,,1026217.7010334044
8,24,0.1,15,12,50,0.99403989128697,82.72659662331631,0.2363245032906327,-0.537958683041752,,789867.5430246015
9,24,0.1,15,12,100,0.9242839095010307,50.80890143936801,0.20821528745993478,-0.5153255940705999,,488759.50220244925
10,24,0.1,15,25,50,0.895665799492945,49.1020209260247,0.20627746885663112,-0.5669019896664811,,472656.97837269644
11,24,0.1,15,25,100,0.9438516516734365,54.67729743786926,0.2123912241413688,-0.4544003379572053,,525253.5263956108
12,24,0.1,20,12,50,0.919706625519308,45.57492241393878,0.20206564984543118,-0.533290134531743,,432641.5155067874
13,24,0.1,20,12,100,0.8455528483153532,28.316037157441368,0.1756963916324994,-0.4986389048417814,,272321.1137471031
14,24,0.1,20,25,50,0.8764879490761371,35.53351530687544,0.18816053261545385,-0.5130514276131002,,339262.5353486268
15,24,0.1,20,25,100,0.8612725416700122,29.513978817393635,0.17795468754044008,-0.42660978820989354,,283363.0908552348
16,24,0.1,25,12,50,0.8652952596924806,29.40671659515643,0.1777559551599308,-0.5109703938851469,,282770.14366195875
17,24,0.1,25,12,100,0.8260993806683495,21.991408741647817,0.16208617666919678,-0.4656753290567754,,213500.52050392466
18,24,0.1,25,25,50,0.8490529443970041,26.224993810317763,0.17153520474785555,-0.4942167500511671,,254039.9489993152
19,24,0.1,25,25,100,0.8100031350740824,20.006059669632076,0.15706855893724359,-0.42652672927597546,,196010.26778296338
20,24,0.1,30,12,50,0.8145552223515833,20.879869357725294,0.15933028315726583,-0.4998345386842738,,203902.37837555903
21,24,0.1,30,12,100,0.7729781531929759,15.702936850805685,0.1444297770026115,-0.45532690431824907,,155762.82686888403
22,24,0.1,30,25,50,0.8112508568348358,19.768321818152597,0.1564377062349589,-0.4744134230828717,,193714.23871644985
23,24,0.1,30,25,100,0.7866150416551793,16.24872711194452,0.14619427092807036,-0.4179001559102606,,160885.60600007794
24,24,0.1,35,12,50,0.7960646113594764,17.203579012856785,0.14915712196715902,-0.48107283561239944,,169896.3502665914
25,24,0.1,35,12,100,0.7349342652856232,12.231768024099539,0.13172635915624187,-0.4414252942804103,,123658.32305370676
26,24,0.1,35,25,50,0.7694478949313269,15.003911190727429,0.1420879258646508,-0.4674713986706018,,149804.0947107179
27,24,0.1,35,25,100,0.7409761880689858,12.267372367346223,0.1318720845191168,-0.41245818715619703,,124029.32808305486
28,24,0.1,40,12,50,0.7234325902532031,11.750861781649709,0.12972060589457124,-0.47738656479369607,,119214.32518959638
29,24,0.1,40,12,100,0.6356327856752825,7.363646446779776,0.1071229585232174,-0.43070942519689714,,78134.32270800836
30,24,0.1,40,25,50,0.7148060267079739,10.952245214269599,0.1262249339239716,-0.43943295764260426,,112039.1093235904
31,24,0.1,40,25,100,0.6590068755599079,7.976001149304078,0.1108776043494697,-0.39837552848842256,,84014.74762586996
32,24,0.15000000000000002,5,12,50,0.9124583145988312,168.47348203000269,0.27880887845921487,-0.594496211722398,,1597529.8714280433
33,24,0.15000000000000002,5,12,100,1.0133062390484984,278.0066164627613,0.3097236794836402,-0.4636823623204104,,2630036.2675407846
34,24,0.15000000000000002,5,25,50,0.8988646790603649,147.17494073522874,0.2706061448429662,-0.5431855828167897,,1396760.668313296
35,24,0.15000000000000002,5,25,100,1.052325339383598,325.0312548398235,0.31953472386607396,-0.4376391326508898,,3073310.7173285033
36,24,0.15000000000000002,10,12,50,1.0747426683616086,193.37640695948735,0.28723707794334485,-0.5365275750336227,,1834666.1412384359
37,24,0.15000000000000002,10,12,100,1.0126060213847796,116.30488629066255,0.2564628148038697,-0.48970947449285684,,1107208.9789382685
38,24,0.15000000000000002,10,25,50,1.0534060010740787,158.22581557473387,0.2749927927533644,-0.4843556643702277,,1502889.2508900315
39,24,0.15000000000000002,10,25,100,1.0321809134159265,119.71306605358892,0.25818819345667743,-0.43443628711749116,,1139377.8625600256
40,24,0.15000000000000002,15,12,50,1.0151011106212833,90.10827452710373,0.24133974023099847,-0.48697617394239423,,859505.4839467083
41,24,0.15000000000000002,15,12,100,0.9418535347822642,54.02045183075176,0.2117020273899899,-0.46800364648217324,,519056.916874092
42,24,0.15000000000000002,15,25,50,0.9195702021134087,53.830925443870996,0.21150170991285622,-0.5142895709050216,,517268.9456966974
43,24,0.15000000000000002,15,25,100,0.9530120869497997,55.870703709889305,0.2136238309608105,-0.4216422093046219,,536511.9904670875
44,24,0.15000000000000002,20,12,50,0.9393913294107812,48.03987457293702,0.20503963500841715,-0.47466043549832176,,455538.82982204575
45,24,0.15000000000000002,20,12,100,0.8512597475202803,28.1803512395161,0.1754350866313834,-0.4596945533600367,,271060.7066842124
46,24,0.15000000000000002,20,25,50,0.8860199430649679,35.91849068776038,0.18875744661483407,-0.4733133452534689,,342837.5464765937
47,24,0.15000000000000002,20,25,100,0.8553000188580709,27.996246890932763,0.17507868123178394,-0.40914822604959833,,269268.9206932475
48,24,0.15000000000000002,25,12,50,0.8717849925602144,29.059692918479705,0.17710839535585166,-0.4688150281962184,,279542.9640813917
49,24,0.15000000000000002,25,12,100,0.8188316182869563,20.490373293475322,0.15833295631407296,-0.4393721392274003,,199561.75524248375
50,24,0.15000000000000002,25,25,50,0.8433525539996864,24.62879211212279,0.16814859679873662,-0.46994043048849415,,239145.58388660784
51,24,0.15000000000000002,25,25,100,0.7903359669168262,17.685670858184743,0.15059724762532323,-0.417145763417607,,174358.41877151333
52,24,0.15000000000000002,30,12,50,0.8099254534151566,19.542969302736132,0.1558333388973563,-0.4745787065468139,,191443.56994275376
53,24,0.15000000000000002,30,12,100,0.7553020151762099,13.868133436627083,0.13806675818947456,-0.440740373648106,,138652.4127486658
54,24,0.15000000000000002,30,25,50,0.8022765866701622,18.115783086324786,0.15185254453221875,-0.45210447119719305,,178300.3653573771
55,24,0.15000000000000002,30,25,100,0.7762826355290242,14.642589413776653,0.14083898008718965,-0.39692410424720687,,145904.5331816457
56,24,0.15000000000000002,35,12,50,0.7855435339777411,15.512165212590434,0.14380005780832295,-0.46380228500606563,,154110.16716200308
57,24,0.15000000000000002,35,12,100,0.7165879249892081,10.684247724229996,0.12500186815232883,-0.4257197174122734,,109195.87443573681
58,24,0.15000000000000002,35,25,50,0.7636560857948287,13.793041557199329,0.13779069092643348,-0.4439131854776823,,138469.78854633018
59,24,0.15000000000000002,35,25,100,0.743476407346146,11.558548300860906,0.12889828125093783,-0.383235214651378,,117402.92382898797
60,24,0.15000000000000002,40,12,50,0.7171923153576755,10.796991031646728,0.12551961869754003,-0.46575297182414704,,110296.09991768954
61,24,0.15000000000000002,40,12,100,0.6203862627677331,6.516155431166776,0.1014699207775136,-0.4162887391722795,,70216.9463665515
62,24,0.15000000000000002,40,25,50,0.7138931475971703,10.264080606083066,0.12302950851939709,-0.4181607635934973,,105588.32552631802
63,24,0.15000000000000002,40,25,100,0.6569871194705491,7.378248793352081,0.10721549787412266,-0.3760555226688454,,78419.82707130098
64,24,0.20000000000000004,5,12,50,0.9219997592807386,176.78942515751532,0.2817474387002765,-0.5723232135420353,,1675919.5250550706
65,24,0.20000000000000004,5,12,100,1.025240442206216,294.3777250305448,0.31330679253179383,-0.4270197504684723,,2784357.3722478654
66,24,0.20000000000000004,5,25,50,0.9206885107957665,166.24388631898614,0.27799767627675176,-0.4819145412198778,,1576512.744105869
67,24,0.20000000000000004,5,25,100,1.060918839071366,336.1988002517457,0.3216658058813271,-0.39920986627370697,,3178580.799540637
68,24,0.20000000000000004,10,12,50,1.0850924163836713,196.3166355634263,0.28816337962554917,-0.4839384547485126,,1862418.1608972407
69,24,0.20000000000000004,10,12,100,1.018038099844451,115.74650669667987,0.2561755956293079,-0.43995606103390017,,1101938.5855244629
70,24,0.20000000000000004,10,25,50,1.0540253360454734,154.09158736291752,0.27338666750702223,-0.4414305478722418,,1463867.3930472066
71,24,0.20000000000000004,10,25,100,1.0221544099658895,111.36692934253105,0.2538763707827705,-0.4123162232062134,,1060600.9437279142
72,24,0.20000000000000004,15,12,50,1.0124666109738378,85.40657968412106,0.23819231716210587,-0.44890158106054495,,815150.2097154377
73,24,0.20000000000000004,15,12,100,0.9363840420309079,50.590047437622815,0.2079702493688984,-0.4354739262083965,,486694.85751830786
74,24,0.20000000000000004,15,25,50,0.9115521687372224,49.96533014243632,0.2072653059681242,-0.4876480555459192,,480801.3429729368
75,24,0.20000000000000004,15,25,100,0.9517878119065858,52.768503204889775,0.2103664423291982,-0.36907073233085286,,507246.1706478774
76,24,0.20000000000000004,20,12,50,0.9159007991780858,40.84281078802352,0.1959104948836785,-0.45531310732495067,,388684.21318027715
77,24,0.20000000000000004,20,12,100,0.8314365361305053,24.279374996594143,0.16738050503959134,-0.4194646384800476,,234823.94693840048
78,24,0.20000000000000004,20,25,50,0.8581750579047223,29.926996500690063,0.1787137541066457,-0.45064025396384483,,287198.51225396874
79,24,0.20000000000000004,20,25,100,0.8322309946062753,23.714422541718392,0.166116974163397,-0.3666478209993895,,229506.4567630774
80,24,0.20000000000000004,25,12,50,0.8318144464351194,22.975872409284523,0.16442305890006392,-0.4617688138526254,,222965.8984842227
81,24,0.20000000000000004,25,12,100,0.7918761496193832,17.047334567112994,0.14868258248813304,-0.4038519196646797,,167589.35335734193
82,24,0.20000000000000004,25,25,50,0.8200666942379607,20.790265532821707,0.15910235319956167,-0.4286495304760673,,203327.7944232874
83,24,0.20000000000000004,25,25,100,0.7708023779207122,15.158219202311763,0.14261314517063517,-0.37232177471683203,,150774.43949755395
84,24,0.20000000000000004,30,12,50,0.7885759635090548,16.53710720892239,0.14710522790630565,-0.44438055620610994,,163431.40862785277
85,24,0.20000000000000004,30,12,100,0.7375947731291932,11.879288153301994,0.1302632015659657,-0.3915971185553344,,120105.48496568618
86,24,0.20000000000000004,30,25,50,0.7837261938514248,15.556271576141732,0.1439462620641625,-0.40543682233175443,,154426.80311087272
87,24,0.20000000000000004,30,25,100,0.7461385587738767,11.966974642962345,0.1306307216544509,-0.35529865199919014,,120948.03053472714
88,24,0.20000000000000004,35,12,50,0.7617913101102824,12.920208430941653,0.13448009044268794,-0.4276906838672411,,129919.10028774453
89,24,0.20000000000000004,35,12,100,0.6896862901675515,8.733987331251747,0.11520104793956243,-0.37183996999659436,,90969.59286289573
90,24,0.20000000000000004,35,25,50,0.7388930973610767,11.391673130989712,0.12817495582132787,-0.3910372746642095,,115991.85681651269
91,24,0.20000000000000004,35,25,100,0.6872179156064435,8.417271560578726,0.11343494784611319,-0.3570991142772196,,88036.86454968106
92,24,0.20000000000000004,40,12,50,0.6927452191105099,8.906133755721973,0.11613816715947367,-0.4266201815611353,,92617.50861622821
93,24,0.20000000000000004,40,12,100,0.5799371362148142,5.032794757320139,0.08992829549236925,-0.3726597811165807,,56359.18918848153
94,24,0.20000000000000004,40,25,50,0.6703736656460964,7.802167004908235,0.1098371597291703,-0.3766290846876695,,82510.60229002169
95,24,0.20000000000000004,40,25,100,0.5927569601513863,5.1448511262446095,0.09088983955240937,-0.35108374271643306,,57515.3799540244
96,24,0.25000000000000006,5,12,50,0.9236271083291344,177.64523581512165,0.2820423866067643,-0.5466804249958254,,1683986.7640911492
97,24,0.25000000000000006,5,12,100,1.019951196562526,283.0558089509617,0.3108496774900713,-0.4136522237309259,,2677632.125782856
98,24,0.25000000000000006,5,25,50,0.9110006576101847,154.8141299194872,0.2736702885596143,-0.48369055660573945,,1468770.9484418554
99,24,0.25000000000000006,5,25,100,1.0432046793159926,298.5728993705863,0.3141945278903986,-0.40973612137370835,,2823902.888418226
100,24,0.25000000000000006,10,12,50,1.059257974566693,164.2388228872561,0.2772593247177817,-0.47142324484192927,,1559644.3946642599
101,24,0.25000000000000006,10,12,100,0.9889789267712958,95.33905400363771,0.24466454264864668,-0.4325307393828709,,909318.1792183975
102,24,0.25000000000000006,10,25,50,1.0174963424556953,121.84225231656669,0.25924269917415854,-0.4447937450786526,,1159474.6737223468
103,24,0.25000000000000006,10,25,100,0.9927526873187681,91.04350435512401,0.24194731846141493,-0.39682334794189844,,868773.6521257688
104,24,0.25000000000000006,15,12,50,0.9975880061082825,74.17637881038604,0.22995990046222925,-0.45005322793018143,,709205.7245751021
105,24,0.25000000000000006,15,12,100,0.9261479458131383,44.9557209533719,0.2012950372272686,-0.42327193203297586,,433541.2385227119
106,24,0.25000000000000006,15,25,50,0.899360959745857,43.84714434861986,0.19989035630895624,-0.47766979603128346,,423083.04824191635
107,24,0.25000000000000006,15,25,100,0.9357984816995901,45.56366318863664,0.20205172472867505,-0.3691697574861899,,439276.49898994213
108,24,0.25000000000000006,20,12,50,0.9091684090930569,36.22047685545901,0.1892215505306436,-0.44011699663788423,,345746.6524906503
109,24,0.25000000000000006,20,12,100,0.8166369377230814,20.78621139168819,0.1590920193793537,-0.41106410418917794,,202375.42061541576
110,24,0.25000000000000006,20,25,50,0.8572420063015043,27.167976295480187,0.17344811633938906,-0.4420882263545131,,261577.3208072909
111,24,0.25000000000000006,20,25,100,0.8202161355180754,20.607265542138688,0.15863406095874066,-0.37061508516183905,,200652.34971783345
112,24,0.25000000000000006,25,12,50,0.8492370606090942,22.220025935116922,0.16263723626149362,-0.43429842964476756,,215936.8325402594
113,24,0.25000000000000006,25,12,100,0.7858507238245291,14.92808250096175,0.14182805789078579,-0.3977788443688289,,147909.7667653861
114,24,0.25000000000000006,25,25,50,0.8276834050222264,19.27827351785927,0.1551153437948649,-0.41748409430825023,,189219.2007889021
115,24,0.25000000000000006,25,25,100,0.7680128783241639,13.417650833785393,0.13639028201285308,-0.3598895059615054,,134532.97025605553
116,24,0.25000000000000006,30,12,50,0.7966728936482238,15.3222174039669,0.1431661380085134,-0.419172943813676,,152109.63532817905
117,24,0.25000000000000006,30,12,100,0.723358091388954,10.019939424051543,0.12185102807708392,-0.3793529198321265,,102766.17411334658
118,24,0.25000000000000006,30,25,50,0.7867537751227464,14.011445783468426,0.1385899661108474,-0.3795462760783785,,140017.61035098005
119,24,0.25000000000000006,30,25,100,0.7449513055168903,10.542971723368723,0.12434633070268597,-0.3354507727456203,,107665.79984153874
120,24,0.25000000000000006,35,12,50,0.7732792334547361,11.985645339479985,0.13070867045557089,-0.40115586979566525,,121196.70244383383
121,24,0.25000000000000006,35,12,100,0.6819208308032816,7.490558409761663,0.10792214727363625,-0.35424552513997604,,79349.04941111413
122,24,0.25000000000000006,35,25,50,0.761749038696719,10.971247968739927,0.12631066297620652,-0.3439239316035548,,112056.48064041103
123,24,0.25000000000000006,35,25,100,0.7025348569599672,7.824335799035136,0.10997092885183446,-0.31995473115530393,,82493.83597820095
124,24,0.25000000000000006,40,12,50,0.7087242108963621,8.345009111290045,0.11302407427867012,-0.3855542072922732,,87371.26746180879
125,24,0.25000000000000006,40,12,100,0.5843913304293339,4.545157543710719,0.08553553360259736,-0.33208970327453663,,51803.616011752805
126,24,0.25000000000000006,40,25,50,0.6979862895462796,7.626146674800217,0.1087635025321727,-0.32039920917829967,,80860.60593748686
127,24,0.25000000000000006,40,25,100,0.586089175574644,4.4044925339391,0.08419992020008249,-0.30536750748511304,,50585.67492719134
128,24,0.30000000000000004,5,12,50,0.9193096576799371,168.13897992699444,0.2786878254907863,-0.48820320439760195,,1594376.710855603
129,24,0.30000000000000004,5,12,100,0.9990372086241369,240.07502514162508,0.30058558024567494,-0.4140097153125358,,2272476.7869632384
130,24,0.30000000000000004,5,25,50,0.8986472182774404,138.76730537530716,0.2670548267706805,-0.4254454636924718,,1317506.6842996108
131,24,0.30000000000000004,5,25,100,1.0291989134596036,265.65638966832364,0.3068855800598065,-0.39647259863683837,,2513617.722369615
132,24,0.30000000000000004,10,12,50,1.0291919557973621,132.0743279775554,0.2640792229766087,-0.44842987101734344,,1256052.4583591342
133,24,0.30000000000000004,10,12,100,0.9446642498198815,71.43301724857245,0.2277710424809214,-0.4404570758213451,,683675.587651916
134,24,0.30000000000000004,10,25,50,0.9793558279144619,94.0498825614848,0.24386137376768713,-0.44187540174793993,,897150.0399253275
135,24,0.30000000000000004,10,25,100,0.9587155590591971,71.7785220741526,0.22805101474310918,-0.39162750154373205,,686936.7139122573
136,24,0.30000000000000004,15,12,50,0.9398913237038043,51.73625669838991,0.20924277563838656,-0.4484412131693755,,497508.0701545185
137,24,0.30000000000000004,15,12,100,0.8693404121750431,31.582705546905164,0.18166284218858753,-0.4383713977518292,,307381.67575607664
138,24,0.30000000000000004,15,25,50,0.8544397077199329,32.582690507333425,0.18337560828002641,-0.4693072136827279,,316815.4243569969
139,24,0.30000000000000004,15,25,100,0.8872198516259379,32.92192888053223,0.18394563685514975,-0.38704207508550004,,320015.7620172474
140,24,0.30000000000000004,20,12,50,0.8684831082031188,27.072987778085995,0.17325820897205602,-0.45326471469035806,,260774.23960409584
141,24,0.30000000000000004,20,12,100,0.7669882348957988,14.950380012139826,0.14190459440165903,-0.4241425532383114,,148165.49816293624
142,24,0.30000000000000004,20,25,50,0.82411593630199,21.031909624583463,0.1597150103278977,-0.426340341177632,,204595.73777728726
143,24,0.30000000000000004,20,25,100,0.7888026317018761,15.950473701103887,0.14523674280389143,-0.35724590303118203,,157407.81129032167
144,24,0.30000000000000004,25,12,50,0.8062723368262036,16.219531879350637,0.1461012399462518,-0.41398006827656947,,160134.66919645254
145,24,0.30000000000000004,25,12,100,0.7331548402269786,10.456869618666328,0.12394304997729555,-0.3797102605386374,,106389.63686030972
146,24,0.30000000000000004,25,25,50,0.787506210135051,14.227265412312281,0.13936898003322118,-0.37271870890844383,,142087.58891533053
147,24,0.30000000000000004,25,25,100,0.739661047332774,10.36724423689821,0.12352019035009709,-0.32038030565174197,,106069.23058729894
148,24,0.30000000000000004,30,12,50,0.7539307239550294,11.09233764652173,0.12685392289208197,-0.3878377743615326,,112690.63658168152
149,24,0.30000000000000004,30,12,100,0.6581242048139275,6.5930970801022175,0.10200756524093957,-0.34169945346729447,,70809.2401025596
150,24,0.30000000000000004,30,25,50,0.7418469347982014,9.954576599869652,0.12153130030069748,-0.33066230934970436,,102177.60900883174
151,24,0.30000000000000004,30,25,100,0.6819157213427415,6.927776677696383,0.10428742496171917,-0.2888444755469318,,73945.46546807064
152,24,0.30000000000000004,35,12,50,0.704952125408914,7.72188341414341,0.10935001998288874,-0.35491096878195016,,81402.46258535804
153,24,0.30000000000000004,35,12,100,0.5754249892864071,4.126071225221633,0.08145578463956293,-0.3044170607944335,,47906.02211361732
154,24,0.30000000000000004,35,25,50,0.6870913513383282,6.876679564267593,0.10394534512721165,-0.28904894478124177,,73729.40510537074
