,Momentum_Window,Min_Momentum,Top_N,MA_Fast,MA_Slow,Sharpe Ratio,Total Return,CAGR,Max Drawdown,Error,Final Capital
0,24,0.2,5,12,50,1.0720976937910638,7.1995575941765715,0.4315875221209211,-0.3877631664727345,,83765.57364178155
1,24,0.2,5,12,100,1.1028867531882094,7.521345726356419,0.44101528584526273,-0.38776151966958045,,87052.91776657994
2,24,0.2,5,25,50,1.1117885634778746,8.04672336104799,0.4557915140559732,-0.387754334909849,,92420.10476941985
3,24,0.2,5,25,100,1.1940172866095555,9.234159231559806,0.4867306173081656,-0.363989307933559,,103815.33333771734
4,24,0.2,10,12,50,1.1882625865745122,6.2112890815451545,0.4005764592458527,-0.3298084401161031,,73720.63534801955
5,24,0.2,10,12,100,1.0467681995384335,4.389622196487984,0.3327356460667896,-0.34910418171655316,,55402.37729571524
6,24,0.2,10,25,50,1.1714426369777813,5.9572394759062925,0.392037192391677,-0.32976264837995145,,71123.49936777707
7,24,0.2,10,25,100,1.0992745565402124,4.7408742501072965,0.34716122371553415,-0.3157636626323487,,58392.297276773854
8,24,0.2,15,12,50,1.045750115721338,3.667892703768795,0.3004608736604135,-0.30747730901162795,,47762.1035803389
9,24,0.2,15,12,100,0.8901457287756487,2.5335419699352437,0.2401660258176861,-0.3251407176435308,,35998.528456844295
10,24,0.2,15,25,50,0.9474160544218774,2.9617707002779827,0.2645937110507739,-0.3195620959793948,,40537.02913853462
11,24,0.2,15,25,100,0.8713413034103545,2.4142555754097517,0.2329250671946428,-0.32539966624403,,34629.38520803136
12,24,0.25,5,12,50,1.0618636392708114,6.990673548835369,0.42530202218176605,-0.3877664327960158,,81631.64242882824
13,24,0.25,5,12,100,1.0904804137489486,7.265310907142218,0.43353860679754197,-0.3877653396223334,,84437.30061194475
14,24,0.25,5,25,50,1.099623765299148,7.774853804337604,0.4482367873323354,-0.38775793360726357,,89642.72207382707
15,24,0.25,5,25,100,1.1814105705879872,8.926640571474113,0.4790162332209038,-0.3639932730775261,,100695.86338595868
16,24,0.25,10,12,50,1.175874599006587,5.966373213080552,0.3923486484705325,-0.3298084401161031,,71216.87309055729
17,24,0.25,10,12,100,1.0190914081558315,4.058388874311695,0.31839910814772354,-0.34910418171655316,,51997.47936055347
18,24,0.25,10,25,50,1.1471005099635694,5.569916951244909,0.3785065850474574,-0.32979340706628335,,67163.92122859116
19,24,0.25,10,25,100,1.0705628719271933,4.371904853741722,0.33198756626438763,-0.3157636626323487,,54639.38966375521
20,24,0.25,15,12,50,1.000463477478703,3.263026800325045,0.28049649835469803,-0.307681133441112,,43619.49610334715
21,24,0.25,15,12,100,0.8420536314023104,2.2283185773608865,0.22120828151426508,-0.3251407176435308,,32889.01594029029
22,24,0.25,15,25,50,0.8997363232374043,2.613774795938058,0.24492309533847467,-0.3195620959793948,,36976.3182389037
23,24,0.25,15,25,100,0.8190160009411284,2.0964871716847435,0.21255696481470587,-0.32539966624403,,31406.39143486781
24,24,0.3,5,12,50,1.0730191945575018,7.158028955911022,0.4303485542135663,-0.3877625990714381,,83341.32267861417
25,24,0.3,5,12,100,1.0974187043139465,7.359140553671546,0.436300618784071,-0.38776270806161406,,85395.85161617416
26,24,0.3,5,25,50,1.1010098391370684,7.726159974469824,0.4468632320426382,-0.3877574478657806,,89145.27248037745
27,24,0.3,5,25,100,1.1959709126621632,9.19534320150117,0.4857675731735207,-0.36398856359840964,,103421.58344500927
28,24,0.3,10,12,50,1.11608011100898,5.117030249286916,0.3618193409582109,-0.3298084401161031,,62534.08389556075
29,24,0.3,10,12,100,0.9680723228071744,3.5366471364651426,0.29415196176967173,-0.34910418171655316,,46634.258793825706
30,24,0.3,10,25,50,1.0895495190204023,4.803024373299664,0.34963700785592833,-0.3298097325498518,,59324.018064191856
31,24,0.3,10,25,100,1.0234701586666606,3.8526128199659238,0.3090955198987395,-0.3157636626323487,,49357.50166400844
32,24,0.3,15,12,50,0.9178951553834663,2.6483608520457085,0.24694674805988703,-0.31521374130054447,,37330.20443532705
33,24,0.3,15,12,100,0.7981935832745567,1.9479349682093496,0.20243428384744777,-0.31444263287726215,,30032.562721748418
34,24,0.3,15,25,50,0.8585198138331219,2.309281285800287,0.22637716652702267,-0.31128796112040613,,33860.725937692674
35,24,0.3,15,25,100,0.7830655772829278,1.8434518983306374,0.19505800918047056,-0.2926802797729326,,28839.95908712324
36,24,0.35,5,12,50,1.0328905308699474,6.322829421564104,0.4042469812500338,-0.38777165258618107,,74809.03696729658
